prepared_state,measured_0,measured_1,error_rate,error_type,noise_strength,gate_count,circuit_depth,has_h_gate
0,523,501,0.5107421875,bit_flip,0.4271513018592041,18,19,1
1,363,661,0.3544921875,readout,0.36066655497165184,6,8,1
0,227,797,0.076171875,readout,0.10849423199754334,6,7,1
0,539,485,0.013671875,depolarizing,0.21047873257421904,18,19,1
1,483,541,0.0234375,readout,0.08599593502655292,14,16,0
1,454,570,0.30078125,bit_flip,0.06395955830683528,18,20,1
0,517,507,0.015625,depolarizing,0.1534245437952493,8,9,0
0,515,509,0.0009765625,bit_flip,0.3912107586945545,15,16,1
0,476,548,0.3701171875,phase_flip,0.22201526746359268,13,14,1
1,290,734,0.1494140625,readout,0.16737667429498768,17,19,1
0,504,520,0.03515625,bit_flip,0.08913838122812553,5,6,1
0,483,541,0.0322265625,readout,0.3007053584952375,7,8,1
1,520,504,0.0078125,readout,0.1789551322509865,8,10,1
0,500,524,0.0224609375,bit_flip,0.10447112911233114,10,11,1
1,209,815,0.0419921875,readout,0.10182787383386496,17,19,1
0,506,518,0.017578125,readout,0.20535901454232136,17,18,1
0,553,471,0.4599609375,depolarizing,0.371484838672975,6,7,0
1,914,110,0.107421875,readout,0.10600980602561803,6,8,1
1,510,514,0.2548828125,depolarizing,0.19231365798023825,16,18,1
0,171,853,0.033203125,readout,0.025825319350887898,9,10,1
1,424,600,0.4140625,readout,0.4268855168380352,9,11,1
0,475,549,0.4638671875,depolarizing,0.36326265551864717,6,7,1
0,561,463,0.3115234375,depolarizing,0.1913581099027764,8,9,1
1,521,503,0.0048828125,readout,0.073210290422144,5,7,1
0,524,500,0.3779296875,depolarizing,0.2737757200817661,11,12,0
1,522,502,0.509765625,bit_flip,0.4305899391220112,11,13,0
0,518,506,0.015625,depolarizing,0.14364950292286463,10,11,0
0,520,504,0.349609375,depolarizing,0.4127250361240992,14,15,1
0,530,494,0.3837890625,bit_flip,0.4220451199043974,18,19,1
1,507,517,0.0146484375,readout,0.3457277835292868,6,8,1
1,521,503,0.02734375,bit_flip,0.12299041674984294,5,7,1
0,530,494,0.017578125,bit_flip,0.2758449165437115,14,15,0
0,588,436,0.2822265625,phase_flip,0.11873827175003394,10,11,1
0,530,494,0.0126953125,depolarizing,0.30988857671738074,6,7,1
1,400,624,0.390625,readout,0.37309478411816493,7,9,0
0,228,796,0.22265625,readout,0.2321320388299435,7,8,1
1,537,487,0.01953125,phase_flip,0.03719541693685428,17,19,1
0,524,500,0.015625,readout,0.25833982562515745,9,10,1
0,841,183,0.1787109375,readout,0.1872557750569497,11,12,1
1,525,499,0.0234375,depolarizing,0.21725030961268324,18,20,1
0,478,546,0.466796875,phase_flip,0.1425693776183015,16,17,1
0,529,495,0.0068359375,bit_flip,0.052779398139375794,9,10,1
1,530,494,0.0341796875,readout,0.3233993885414434,12,14,1
0,505,519,0.0029296875,readout,0.21628157395487932,7,8,1
0,558,466,0.455078125,depolarizing,0.25467479896884326,9,10,1
0,529,495,0.0126953125,readout,0.2818428535113469,12,13,1
1,485,539,0.01953125,bit_flip,0.20259364679085076,11,13,1
0,507,517,0.3662109375,phase_flip,0.4133597336906894,18,19,1
1,480,544,0.0361328125,phase_flip,0.4040817777411903,17,19,1
1,546,478,0.099609375,readout,0.43087886284868,16,18,1
0,511,513,0.013671875,phase_flip,0.2375348023928618,16,17,1
0,518,506,0.2734375,phase_flip,0.1356501927121008,18,19,1
0,464,560,0.056640625,readout,0.08117510117872474,17,18,1
0,520,504,0.015625,bit_flip,0.3508560010860877,14,15,1
0,496,528,0.0400390625,bit_flip,0.14540677795436124,7,8,1
1,496,528,0.0205078125,depolarizing,0.05893460395071308,7,9,1
1,509,515,0.0087890625,phase_flip,0.28260185464673576,19,21,1
0,546,478,0.31640625,bit_flip,0.10677275364149011,13,14,1
0,855,169,0.1650390625,readout,0.16109394527057166,17,18,1
1,254,770,0.248046875,readout,0.22811780862675,5,7,1
0,525,499,0.017578125,readout,0.4036593091312148,17,18,0
1,515,509,0.01171875,phase_flip,0.19251330819288753,8,10,1
1,522,502,0.025390625,phase_flip,0.2899738221022614,8,10,1
1,491,533,0.005859375,depolarizing,0.3445219935152496,13,15,1
0,643,381,0.205078125,depolarizing,0.07957283836270806,14,15,1
1,491,533,0.0048828125,phase_flip,0.28840167207409984,11,13,0
1,459,565,0.4482421875,depolarizing,0.19113883237454757,10,12,1
1,513,511,0.013671875,bit_flip,0.27087114470165286,17,19,1
1,514,510,0.25,bit_flip,0.27818270267329465,19,21,1
1,485,539,0.376953125,phase_flip,0.423600961727874,6,8,1
0,297,727,0.0224609375,bit_flip,0.05042190507706168,8,9,1
0,516,508,0.361328125,depolarizing,0.41023025133615193,13,14,1
1,525,499,0.01953125,readout,0.08241556082858197,8,10,1
1,522,502,0.23828125,depolarizing,0.2856610179239611,9,11,1
0,515,509,0.0048828125,bit_flip,0.35395568501813524,19,20,1
0,510,514,0.0087890625,bit_flip,0.2671798091799284,15,16,1
0,521,503,0.1298828125,bit_flip,0.37287132548845836,15,16,1
1,519,505,0.001953125,readout,0.3016335584249698,17,19,1
0,509,515,0.017578125,depolarizing,0.34281428457308655,6,7,0
0,531,493,0.0400390625,bit_flip,0.32530971228654143,11,12,1
1,548,476,0.048828125,phase_flip,0.32385380261294167,18,20,1
0,384,640,0.244140625,depolarizing,0.06818108860487378,14,15,1
1,514,510,0.0087890625,depolarizing,0.4353042148563014,5,7,1
1,506,518,0.0166015625,readout,0.2354733169426736,13,15,1
0,509,515,0.3408203125,depolarizing,0.36139390274663685,14,15,1
1,366,658,0.20703125,depolarizing,0.048816244947981695,19,21,1
0,950,74,0.072265625,readout,0.0753262797186975,12,13,0
0,520,504,0.255859375,bit_flip,0.4156736004659881,10,11,1
1,521,503,0.029296875,depolarizing,0.17648269712710374,6,8,1
0,515,509,0.349609375,depolarizing,0.29774029934397744,18,19,1
1,494,530,0.0263671875,phase_flip,0.16487224527950373,14,16,1
0,523,501,0.0146484375,depolarizing,0.39139175155730466,7,8,1
0,502,522,0.3525390625,phase_flip,0.12999564451735743,13,14,1
1,511,513,0.2548828125,phase_flip,0.22242851464088345,14,16,1
1,487,537,0.4755859375,depolarizing,0.3980489925030447,13,15,1
0,520,504,0.4921875,bit_flip,0.28919474450996435,6,7,0
0,502,522,0.345703125,phase_flip,0.10500571346764939,12,13,1
1,519,505,0.0009765625,phase_flip,0.4170304836444928,10,12,1
1,422,602,0.412109375,depolarizing,0.25535749707432814,6,8,0
0,789,235,0.0927734375,depolarizing,0.02439900895840138,10,11,1
0,506,518,0.3564453125,bit_flip,0.22284063931058606,17,18,1
0,500,524,0.3583984375,bit_flip,0.18983261020042388,16,17,1
1,521,503,0.0263671875,phase_flip,0.3916461054829568,6,8,1
0,995,29,0.0283203125,readout,0.0368246855194179,16,17,1
1,417,607,0.4072265625,depolarizing,0.19802190315596238,7,9,1
0,504,520,0.2509765625,phase_flip,0.13404361617797023,17,18,1
1,511,513,0.0107421875,bit_flip,0.32499818364305877,16,18,1
0,511,513,0.0029296875,readout,0.19355490815858156,11,12,1
